Year,Model,Color,Base MSRP,TSRP MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,XLE RWD,Black,49500,52005,0,49500,At dealer,False,Available,JTDAAAAA0PA008974,Longo Toyota,CA
2024,XLE RWD,Oxygen White,50190,54073,0,50190,Factory to port,False,,JTDAAAAA0R113AN64,Longo Toyota,CA
2024,XLE RWD,Heavy Metal,50190,53843,2495,52685,Factory to port,False,,JTDAAAAA0RA011554,Toyota of Orange,CA
2024,XLE RWD,Elemental Silver Metallic,50190,53569,0,50190,Factory to port,False,,JTDAAAAA0RA011568,Toyota of Glendale,CA
2024,XLE RWD,Black,50190,53323,0,50190,Factory to port,False,,JTDAAAAA0RA011571,Toyota of Glendale,CA
2024,XLE RWD,Oxygen White,50190,53500,0,50190,Factory to port,False,,JTDAAAAA0RA011599,Longo Toyota,CA
2024,XLE RWD,Elemental Silver Metallic,50190,53748,0,50190,Factory to port,False,,JTDAAAAA0RA011621,Hamer Toyota,CA
2024,XLE RWD,Heavy Metal,50190,53843,2495,52685,Factory to port,False,,JTDAAAAA0RA011635,Toyota of Orange,CA
2024,XLE RWD,Oxygen White,50190,53569,0,50190,Factory to port,False,,JTDAAAAA0RA011652,Hamer Toyota,CA
2024,XLE RWD,Heavy Metal,50190,54073,0,50190,Factory to port,False,,JTDAAAAA1R112AM78,Longo Toyota,CA
2024,XLE RWD,Black,50190,53648,0,50190,Factory to port,False,,JTDAAAAA1R112AM81,Longo Toyota,CA
2024,XLE RWD,Black,50190,53648,0,50190,Factory to port,False,,JTDAAAAA1R113AN73,Longo Toyota,CA
2024,XLE RWD,Oxygen White,50190,53713,2495,52685,Factory to port,False,,JTDAAAAA1RA011515,Toyota of Orange,CA
2024,XLE RWD,Elemental Silver Metallic,50190,54168,0,50190,Factory to port,False,,JTDAAAAA1RA011532,Longo Toyota,CA
2024,XLE RWD,Black,50190,53075,0,50190,Factory to port,False,,JTDAAAAA1RA011563,Longo Toyota,CA
2024,XLE RWD,Heavy Metal,50190,53843,2495,52685,Factory to port,False,,JTDAAAAA1RA011594,Toyota of Orange,CA
2024,XLE RWD,Elemental Silver Metallic,50190,53500,0,50190,Factory to port,False,,JTDAAAAA1RA011627,Longo Toyota,CA
2024,XLE RWD,Black,50190,53219,2495,52685,Factory to port,False,,JTDAAAAA1RA011644,Toyota of Orange,CA
2023,XLE RWD,Supersonic Red,49500,52430,0,49500,At dealer,False,Available,JTDAAAAA2PA008541,Toyota Sunnyvale,CA
2023,XLE RWD,Oxygen White,49500,52430,295,49795,At dealer,False,,JTDAAAAA2PA010452,Stevens Creek Toyota,CA
2024,XLE RWD,Oxygen White,50190,54073,0,50190,Factory to port,False,,JTDAAAAA2R112AM73,Longo Toyota,CA
2024,XLE RWD,Heavy Metal,50190,53569,0,50190,Factory to port,False,,JTDAAAAA2RA011491,Toyota of Glendale,CA
2024,XLE RWD,Elemental Silver Metallic,50190,53569,0,50190,Factory to port,False,,JTDAAAAA2RA011507,Toyota of Glendale,CA
2024,XLE RWD,Oxygen White,50190,53843,2495,52685,Factory to port,False,,JTDAAAAA2RA011524,Toyota of Orange,CA
2024,XLE RWD,Elemental Silver Metallic,50190,53679,0,50190,Factory to port,False,,JTDAAAAA2RA011541,Dublin Toyota,CA
2024,XLE RWD,Oxygen White,50190,53843,2495,52685,Factory to port,False,,JTDAAAAA2RA011569,Toyota of Orange,CA
2024,XLE RWD,Oxygen White,50190,52064,0,50190,Factory to port,False,,JTDAAAAA2RA011619,Dublin Toyota,CA
2024,XLE RWD,Oxygen White,50190,53748,0,50190,Factory to port,False,,JTDAAAAA2RA011622,Toyota of Glendale,CA
2024,XLE RWD,Elemental Silver Metallic,50190,53664,2495,52685,Factory to port,False,,JTDAAAAA2RA011653,Toyota of Orange,CA
2024,XLE RWD,Black,50190,53144,0,50190,Factory to port,False,,JTDAAAAA2RA011670,Hamer Toyota,CA
2024,XLE RWD,Elemental Silver Metallic,50190,53395,2495,52685,Factory to port,False,,JTDAAAAA3RA011483,Toyota of Orange,CA
2024,XLE RWD,Heavy Metal,50190,53464,0,50190,Factory to port,False,,JTDAAAAA3RA011516,Toyota Santa Monica,CA
2024,XLE RWD,Heavy Metal,50190,53843,2495,52685,Factory to port,False,,JTDAAAAA3RA011581,Toyota of Orange,CA
2024,XLE RWD,Elemental Silver Metallic,50190,53843,2495,52685,Factory to port,False,,JTDAAAAA3RA011600,Toyota of Orange,CA
2024,XLE RWD,Oxygen White,50190,53500,0,50190,Factory to port,False,,JTDAAAAA3RA011614,Longo Toyota,CA
2024,XLE RWD,Heavy Metal,50190,53843,2495,52685,Factory to port,False,,JTDAAAAA3RA011631,Toyota of Orange,CA
2024,XLE RWD,Elemental Silver Metallic,50190,53639,2495,52685,Factory to port,False,,JTDAAAAA3RA011659,Toyota of Orange,CA
2024,XLE RWD,Oxygen White,50190,53595,2495,52685,Factory to port,False,,JTDAAAAA3RA011676,Toyota of Orange,CA
2023,XLE RWD,Oxygen White,49500,52430,0,49500,At dealer,False,Available,JTDAAAAA4PA010758,Dublin Toyota,CA
2023,XLE RWD,Heavy Metal,49500,52684,0,49500,At dealer,False,,JTDAAAAA4PA011294,Hamer Toyota,CA
2024,XLE RWD,Oxygen White,50190,54073,0,50190,Factory to port,False,,JTDAAAAA4R113AN66,Longo Toyota,CA
2024,XLE RWD,Heavy Metal,50190,53569,0,50190,Factory to port,False,,JTDAAAAA4RA011525,Hamer Toyota,CA
2024,XLE RWD,Oxygen White,50190,53664,0,50190,Factory to port,False,,JTDAAAAA4RA011606,Toyota Santa Monica,CA
2024,XLE RWD,Heavy Metal,50190,53664,0,50190,Factory to port,False,,JTDAAAAA4RA011637,Dublin Toyota,CA
2024,XLE RWD,Elemental Silver Metallic,50190,53748,0,50190,Factory to port,False,,JTDAAAAA4RA011640,Longo Toyota,CA
2024,XLE RWD,Oxygen White,50190,53748,0,50190,Factory to port,False,,JTDAAAAA4RA011654,Longo Toyota,CA
2024,XLE RWD,Oxygen White,50190,53818,2495,52685,Factory to port,False,,JTDAAAAA4RA011668,Toyota of Orange,CA
2024,XLE RWD,Elemental Silver Metallic,50190,54073,0,50190,Factory to port,False,,JTDAAAAA4RA011685,Longo Toyota,CA
2023,XLE RWD,Oxygen White,49500,52684,0,49500,At dealer,False,Available,JTDAAAAA5PA010526,Toyota Sunnyvale,CA
2024,XLE RWD,Hydro Blue,50190,53713,2495,52685,Factory to port,False,DealerHold,JTDAAAAA5RA011498,Toyota of Orange,CA
2024,XLE RWD,Black,50190,53323,0,50190,Factory to port,False,,JTDAAAAA5RA011596,Toyota of Glendale,CA
2024,XLE RWD,Black,50190,53145,0,50190,Factory to port,False,,JTDAAAAA5RA011629,Dublin Toyota,CA
2024,XLE RWD,Heavy Metal,50190,53818,2495,52685,Factory to port,False,,JTDAAAAA5RA011646,Toyota of Orange,CA
2024,XLE RWD,Oxygen White,50190,53748,0,50190,Factory to port,False,,JTDAAAAA5RA011680,Longo Toyota,CA
2023,XLE RWD,Heavy Metal,49500,52629,0,49500,At dealer,False,,JTDAAAAA6PA010809,Tustin Toyota,CA
2023,XLE RWD,Heavy Metal,49500,52629,0,49500,At dealer,False,,JTDAAAAA6PA011281,Tustin Toyota,CA
2024,XLE RWD,Heavy Metal,50190,53569,0,50190,Port to dealer,False,,JTDAAAAA6RA011476,Hamer Toyota,CA
2024,XLE RWD,Oxygen White,50190,53713,2495,52685,Factory to port,False,,JTDAAAAA6RA011493,Toyota of Orange,CA
2024,XLE RWD,Black,50190,53254,0,50190,Factory to port,False,,JTDAAAAA6RA011509,Longo Toyota,CA
2024,XLE RWD,Black,50190,53218,0,50190,Factory to port,False,,JTDAAAAA6RA011588,Dublin Toyota,CA
2024,XLE RWD,Elemental Silver Metallic,50190,53664,0,50190,Factory to port,False,,JTDAAAAA6RA011607,Toyota Santa Monica,CA
2024,XLE RWD,Oxygen White,50190,53748,0,50190,Factory to port,False,,JTDAAAAA6RA011610,Hamer Toyota,CA
2024,XLE RWD,Heavy Metal,50190,53664,0,50190,Factory to port,False,,JTDAAAAA6RA011624,Toyota Santa Monica,CA
2024,XLE RWD,Oxygen White,50190,53713,2495,52685,Factory to port,False,,JTDAAAAA6RA011638,Toyota of Orange,CA
2024,XLE RWD,Oxygen White,50190,53748,0,50190,Factory to port,False,,JTDAAAAA6RA011641,Longo Toyota,CA
2024,XLE RWD,Supersonic Red,50190,53569,0,50190,Factory to port,False,,JTDAAAAA6RA011655,Hamer Toyota,CA
2024,XLE RWD,Heavy Metal,50190,53534,2495,52685,Factory to port,False,,JTDAAAAA6RA011669,Toyota of Orange,CA
2024,Limited RWD,Elemental Silver Metallic,67115,68814,2495,69610,Factory to port,False,,JTDAAAAA6RA011672,Toyota of Orange,CA
2024,XLE RWD,Heavy Metal,50190,54073,0,50190,Factory to port,False,,JTDAAAAA6RA011686,Longo Toyota,CA
2023,XLE RWD,Supersonic Red,49500,52430,0,49500,At dealer,False,Available,JTDAAAAA7PA008986,Longo Toyota,CA
2023,XLE RWD,Black,49500,52005,0,49500,At dealer,False,Available,JTDAAAAA7PA010480,San Francisco Toyota,CA
2023,XLE RWD,Oxygen White,49500,52430,0,49500,At dealer,False,Available,JTDAAAAA7PA010690,San Francisco Toyota,CA
2024,XLE RWD,Oxygen White,50190,53464,0,50190,Factory to port,False,,JTDAAAAA7RA011499,Toyota Santa Monica,CA
2024,XLE RWD,Oxygen White,50190,53569,0,50190,Factory to port,False,DealerHold,JTDAAAAA7RA011504,Toyota of Glendale,CA
2024,XLE RWD,Black,50190,53743,0,50190,Factory to port,False,,JTDAAAAA7RA011518,Longo Toyota,CA
2024,XLE RWD,Elemental Silver Metallic,50190,53464,0,50190,Factory to port,False,,JTDAAAAA7RA011521,Toyota Santa Monica,CA
2024,XLE RWD,Elemental Silver Metallic,50190,53594,0,50190,Factory to port,False,,JTDAAAAA7RA011647,Dublin Toyota,CA
2024,XLE RWD,Elemental Silver Metallic,50190,53748,0,50190,Factory to port,False,,JTDAAAAA7RA011664,Longo Toyota,CA
2024,XLE RWD,Elemental Silver Metallic,50190,54073,0,50190,Factory to port,False,,JTDAAAAA8R113AN68,Longo Toyota,CA
2024,XLE RWD,Heavy Metal,50190,54073,0,50190,Factory to port,False,,JTDAAAAA8R113AN71,Longo Toyota,CA
2024,XLE RWD,Oxygen White,50190,54073,0,50190,Factory to port,False,,JTDAAAAA8RA011530,Longo Toyota,CA
2024,XLE RWD,Oxygen White,50190,53843,2495,52685,Factory to port,False,,JTDAAAAA8RA011561,Toyota of Orange,CA
2024,XLE RWD,Black,50190,53075,0,50190,Factory to port,False,,JTDAAAAA8RA011608,Longo Toyota,CA
2024,XLE RWD,Oxygen White,50190,53843,2495,52685,Factory to port,False,,JTDAAAAA8RA011625,Toyota of Orange,CA
