Year,Model,Color,Base MSRP,TSRP MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024,3.0 Premium RWD,Absolute Zero,58550,62050,22190,80740,At dealer,False,Available,WZ1DB0G00RW064391,Keating Toyota,TX
2024,45th Anniversary Edition RWD,Absolute Zero,64375,65545,0,64375,Port to dealer,True,DealerHold,WZ1DB0G00RW064603,Rohrich Toyota,PA
2024,3.0 Premium RWD,Renaissance Red 2.0,57650,60930,0,57650,At dealer,True,Available,WZ1DB0G00RW064651,Beechmont Toyota,OH
2024,45th Anniversary Edition RWD,Mikan Blast,64375,65974,0,64375,Port to dealer,False,DealerHold,WZ1DB0G00RW064794,Ira Toyota of Manchester,NH
2024,3.0 Premium RWD,Absolute Zero,58550,60840,0,58550,Port to dealer,True,,WZ1DB0G00RW064939,San Francisco Toyota,CA
2024,45th Anniversary Edition RWD,Absolute Zero,65275,67360,0,65275,Port to dealer,False,DealerHold,WZ1DB0G00RW065105,Autoland Toyota,NJ
2024,3.0 Premium RWD,Absolute Zero,58550,61875,0,58550,Factory to port,True,DealerHold,WZ1DB0G00RW065377,Hamer Toyota,CA
2024,3.0 Premium RWD,Stratosphere,58550,62255,1790,60340,At dealer,False,DealerHold,WZ1DB0G00RW065427,Liberty Toyota,NJ
2024,3.0 Premium RWD,Absolute Zero,58550,61940,0,58550,Port to dealer,True,DealerHold,WZ1DB0G00RW065511,Coughlin Toyota,OH
2024,45th Anniversary Edition RWD,Mikan Blast,65275,67435,0,65275,Port to dealer,False,DealerHold,WZ1DB0G00RW065556,Hendrick Toyota Merriam,KS
2024,3.0 RWD,Stratosphere,55400,61175,3568,58968,Factory to port,False,,WZ1DB0G00RW065573,Bell Road Toyota,AZ
2024,45th Anniversary Edition RWD,Absolute Zero,65275,66370,0,65275,Factory to port,True,DealerHold,WZ1DB0G00RW065587,Oroville Toyota,CA
2024,3.0 Premium RWD,Stratosphere,58550,61814,0,58550,Factory to port,False,,WZ1DB0G00RW065640,AutoNation Toyota Cerritos,CA
2024,45th Anniversary Edition RWD,Mikan Blast,65275,66370,0,65275,Factory to port,False,DealerHold,WZ1DB0G00RW065704,Don Moore Toyota,KY
2024,3.0 Premium RWD,Renaissance Red 2.0,58550,62704,0,58550,Factory to port,False,Available,WZ1DB0G00RW065721,Lithia Toyota of Abilene,TX
2024,3.0 Premium RWD,Stratosphere,58550,62255,0,58550,Factory to port,False,DealerHold,WZ1DB0G00RW065766,Toyota of Runnemede,NJ
2024,45th Anniversary Edition RWD,Mikan Blast,65275,66445,0,65275,Factory to port,True,,WZ1DB0G00RW065783,Avondale Toyota,AZ
2024,3.0 Premium RWD,Absolute Zero,58550,62364,0,58550,Factory to port,True,DealerHold,WZ1DB0G00RW065802,Mossy Toyota,CA
2024,45th Anniversary Edition RWD,Mikan Blast,65275,67430,0,65275,Factory to port,False,DealerHold,WZ1DB0G00RW065816,Oxmoor Toyota,KY
2024,3.0 Premium RWD,Renaissance Red 2.0,58550,61830,0,58550,Factory to port,False,DealerHold,WZ1DB0G00RW065878,Kings Toyota,OH
2024,3.0 Premium RWD,Nocturnal,58550,60950,0,58550,Factory to port,False,DealerHold,WZ1DB0G00RW065928,Peterson Toyota,ID
2024,3.0 Premium RWD,Nocturnal,58550,61875,0,58550,Factory to port,False,DealerHold,WZ1DB0G00RW065931,Beach Cities Toyota Westminster,CA
2024,3.0 Premium RWD,Absolute Zero,58550,61945,0,58550,Factory to port,False,Available,WZ1DB0G00RW065993,Toyota Santa Monica,CA
2024,3.0 Premium RWD,Stratosphere,58550,61265,0,58550,Factory to port,False,DealerHold,WZ1DB0G00RW066092,"Cedar Rapids Toyota, Inc.",IA
2024,3.0 Premium RWD,Absolute Zero,58550,60865,0,58550,Factory to port,False,,WZ1DB0G00RW066108,802 Toyota,VT
2024,3.0 Premium RWD,Nocturnal,58550,60905,0,58550,Factory to port,False,DealerHold,WZ1DB0G00RW066450,Camelback Toyota,AZ
2024,3.0 Premium RWD,Nocturnal,58550,62000,0,58550,Factory to port,False,,WZ1DB0G00RW066562,Avondale Toyota,AZ
2024,3.0 RWD,Absolute Zero,55400,61224,0,55400,Factory to port,False,,WZ1DB0G00RW066576,AutoNation Toyota Cerritos,CA
2024,3.0 Premium RWD,Absolute Zero,58550,62339,2495,61045,Factory to port,False,,WZ1DB0G00RW066612,Toyota of Orange,CA
2024,45th Anniversary Edition RWD,Mikan Blast,64375,66470,0,64375,Factory to port,False,DealerHold,WZ1DB0G01RW064741,Rogers Toyota,ID
2024,45th Anniversary Edition RWD,Mikan Blast,64375,65909,0,64375,Port to dealer,False,Available,WZ1DB0G01RW064898,Toyota of Bowling Green,KY
2024,45th Anniversary Edition RWD,Mikan Blast,65275,66505,0,65275,Factory to port,True,DealerHold,WZ1DB0G01RW064951,AutoNation Toyota Arapahoe,CO
2024,45th Anniversary Edition RWD,Absolute Zero,65275,66370,0,65275,Port to dealer,False,DealerHold,WZ1DB0G01RW064965,Del Toyota,PA
2024,3.0 Premium RWD,Stratosphere,58550,63129,7590,66140,Factory to port,True,DealerHold,WZ1DB0G01RW065016,Bob Howard Toyota,OK
2024,45th Anniversary Edition RWD,Mikan Blast,65275,67455,0,65275,Port to dealer,True,DealerHold,WZ1DB0G01RW065050,Szott M-59 Toyota,MI
2024,3.0 RWD,Renaissance Red 2.0,55400,60380,0,55400,Port to dealer,False,DealerHold,WZ1DB0G01RW065064,Ron Tonkin Toyota,OR
2024,45th Anniversary Edition RWD,Absolute Zero,65275,66370,1244,66519,Factory to port,False,DealerHold,WZ1DB0G01RW065131,Toyota of Santa Fe,NM
2024,3.0 Premium RWD,Nocturnal,58550,61940,0,58550,At dealer,False,,WZ1DB0G01RW065243,Jerry's Toyota,MD
2024,45th Anniversary Edition RWD,Absolute Zero,65275,67360,0,65275,Factory to port,False,DealerHold,WZ1DB0G01RW065274,Ron Tonkin Toyota,OR
2024,3.0 Premium RWD,Absolute Zero,58550,62389,888,59438,Port to dealer,False,,WZ1DB0G01RW065310,Romeoville Toyota,IL
2024,3.0 Premium RWD,Absolute Zero,58550,61900,0,58550,Port to dealer,True,DealerHold,WZ1DB0G01RW065338,Byers Toyota,OH
2024,45th Anniversary Edition RWD,Mikan Blast,65275,66465,4079,69354,Factory to port,False,,WZ1DB0G01RW065436,Toyota of Huntington Beach,CA
2024,3.0 Premium RWD,Absolute Zero,58550,61940,0,58550,Port to dealer,True,DealerHold,WZ1DB0G01RW065470,Toyota of Anaheim,CA
2024,3.0 Premium RWD,Absolute Zero,58550,62704,2995,61545,Factory to port,False,Available,WZ1DB0G01RW065503,Classic Toyota,TX
2024,3.0 Premium RWD,Nocturnal,58550,61830,0,58550,Port to dealer,False,Available,WZ1DB0G01RW065534,Toyota of Riverside,CA
2024,3.0 Premium RWD,Stratosphere,58550,63129,0,58550,Factory to port,True,Available,WZ1DB0G01RW065579,South Toyota,TX
2024,3.0 Premium RWD,Nocturnal,58550,61050,0,58550,Port to dealer,True,DealerHold,WZ1DB0G01RW065582,Ira Toyota,MA
2024,3.0 Premium RWD,Stratosphere,58550,62190,0,58550,Factory to port,False,DealerHold,WZ1DB0G01RW065601,White River Toyota,VT
2024,3.0 Premium RWD,Stratosphere,58550,62370,0,58550,Factory to port,True,DealerHold,WZ1DB0G01RW065629,Culver City Toyota,CA
2024,3.0 Premium RWD,Nocturnal,58550,61965,0,58550,Factory to port,False,DealerHold,WZ1DB0G01RW065646,Sunrise Toyota North,NY
2024,3.0 Premium RWD,Renaissance Red 2.0,58550,61279,0,58550,Factory to port,True,Available,WZ1DB0G01RW065713,South Bay Toyota,CA
2024,3.0 Premium RWD,Renaissance Red 2.0,58550,62439,0,58550,Factory to port,True,DealerHold,WZ1DB0G01RW065727,DARCARS Toyota of Frederick,MD
2024,3.0 Premium RWD,Absolute Zero,58550,61738,0,58550,Factory to port,False,DealerHold,WZ1DB0G01RW065730,Bev Smith Toyota,FL
2024,3.0 Premium RWD,Nocturnal,58550,61975,0,58550,Factory to port,True,,WZ1DB0G01RW065744,One Toyota of Oakland,CA
2024,45th Anniversary Edition RWD,Absolute Zero,65275,66460,0,65275,Factory to port,False,DealerHold,WZ1DB0G01RW065761,Woburn Toyota,MA
2024,3.0 Premium RWD,Absolute Zero,58550,61940,0,58550,Factory to port,False,DealerHold,WZ1DB0G01RW065808,Bernardi Toyota,MA
2024,3.0 Premium RWD,Stratosphere,58550,61265,0,58550,Factory to port,False,DealerHold,WZ1DB0G01RW065923,Mountain States Toyota,CO
2024,3.0 Premium RWD,Nocturnal,58550,61765,0,58550,Factory to port,False,DealerHold,WZ1DB0G01RW065971,Victory Toyota,MI
